name	type	units	status	status_description
FP1	EEG	microV	good	n/a
FP2	EEG	microV	good	n/a
F3	EEG	microV	good	n/a
F4	EEG	microV	good	n/a
C3	EEG	microV	good	n/a
C4	EEG	microV	good	n/a
P3	EEG	microV	good	n/a
P4	EEG	microV	good	n/a
O1	EEG	microV	good	n/a
O2	EEG	microV	good	n/a
F7	EEG	microV	good	n/a
F8	EEG	microV	good	n/a
T7	EEG	microV	good	n/a
T8	EEG	microV	good	n/a
P7	EEG	microV	good	n/a
P8	EEG	microV	good	n/a
Fz	EEG	microV	good	n/a
Cz	EEG	microV	good	n/a
Pz	EEG	microV	good	n/a
Oz	EEG	microV	good	n/a
FC1	EEG	microV	good	n/a
FC2	EEG	microV	good	n/a
CP1	EEG	microV	good	n/a
CP2	EEG	microV	good	n/a
FC5	EEG	microV	good	n/a
FC6	EEG	microV	good	n/a
CP5	EEG	microV	good	n/a
CP6	EEG	microV	good	n/a
TP9	EEG	microV	good	n/a
TP10	EEG	microV	good	n/a
POz	EEG	microV	good	n/a
ECG	ECG	microV	good	n/a
ft_valance	reponse	V	good	n/a
ft_arousal	reponse	V	good	n/a
ft_x	reponse	V	good	n/a
ft_y	reponse	V	good	n/a
ft_ghostvalence	reponse	V	good	n/a
ft_ghostarousal	reponse	V	good	n/a
music	stimuli	V	good	The value of the music channel indicates which piece of music (from the stimuli folder) was played to the participant in a given trial. To convert from the values stored in this channel to the music channel: 1) multiply the value by 20, 2) convert to a string, 3) the file name is then constructed from the resulting 3-element number. For example, if the number is 282 this indicates file 2-8_2.wav from the stimuli folder.
trialtype	stimuli	V	good	n/a
sams_valence	reponse	V	good	n/a
sams_arousal	reponse	V	good	n/a
sams_valencert	reponse	ms	good	n/a
sams_arousalrt	reponse	ms	good	n/a
nback_stimuli	stimuli	V	good	n/a
nback_keypress	response	V	good	n/a
