onset	duration	trial_type
0.001	0.001	1
0.041	0.001	47
0.293	0.001	265
1.061	0.001	47
2.04	0.001	265
3.061	0.001	47
4.236	0.001	265
5.061	0.001	47
5.297	0.001	265
7.061	0.001	47
9.061	0.001	47
11.061	0.001	47
12.017	0.001	10
13.061	0.001	47
13.369	0.001	265
13.806	0.001	768
13.811	0.001	768
14.017	0.001	10
15.061	0.001	47
15.961	0.001	265
16.017	0.001	10
17.061	0.001	47
17.967	0.001	265
18.017	0.001	10
19.061	0.001	47
19.862	0.001	265
20.017	0.001	10
20.87	0.001	265
21.061	0.001	47
22.017	0.001	10
22.761	0.001	265
23.061	0.001	47
24.017	0.001	10
25.061	0.001	47
26.017	0.001	10
27.061	0.001	47
27.191	0.001	265
28.017	0.001	10
29.061	0.001	47
29.959	0.001	265
30.017	0.001	10
31.061	0.001	47
31.861	0.001	265
32.017	0.001	10
33.061	0.001	47
34.017	0.001	10
35.061	0.001	47
35.844	0.001	265
36.017	0.001	10
37.061	0.001	47
38.017	0.001	10
38.119	0.001	265
39.061	0.001	47
40.017	0.001	10
40.939	0.001	265
41.061	0.001	47
42.017	0.001	10
42.772	0.001	265
43.061	0.001	47
44.017	0.001	10
44.488	0.001	265
45.061	0.001	47
46.017	0.001	10
46.241	0.001	265
47.061	0.001	47
48.017	0.001	10
48.81	0.001	265
49.061	0.001	47
50.017	0.001	10
50.533	0.001	265
51.061	0.001	47
52.017	0.001	10
53.061	0.001	47
54.017	0.001	10
54.399	0.001	265
55.061	0.001	47
56.017	0.001	10
57.061	0.001	47
57.15	0.001	265
58.017	0.001	10
59.061	0.001	47
59.147	0.001	768
59.151	0.001	768
59.977	0.001	265
60.017	0.001	10
61.061	0.001	47
62.017	0.001	10
62.781	0.001	265
63.061	0.001	47
64.017	0.001	10
65.061	0.001	47
65.419	0.001	265
66.017	0.001	10
67.061	0.001	47
67.27	0.001	265
68.017	0.001	10
69.061	0.001	47
70.017	0.001	10
70.191	0.001	265
71.061	0.001	47
72.017	0.001	10
73.061	0.001	47
74.017	0.001	10
74.03	0.001	265
75.061	0.001	47
76.017	0.001	10
76.024	0.001	265
77.061	0.001	47
